"Main food description","Categoria","Calorias (kcal)","Proteina (g)","Carbohidrats (g)","Azucares totales
(g)","Fibra  (g)","Grasa (g)","Grasa saturada (g)","Grasa monoinsaturada (g)","Grasa poliinsaturada (g)","Colesterol (mg)","Retinol (mcg)","Vitamin A, RAE (mcg_RAE)","Caroteno, alpha (mcg)","Caroteno, beta (mcg)","Cryptoxanthin, beta (mcg)","Licopeno (mcg)","Luteina + zeaxanthin (mcg)","Tiamina (mg)","Riboflavina (mg)","Niacina (mg)","Vitamin B-6 (mg)","Acido folico(mcg)","Folato (mcg)","Folato, DFE (mcg_DFE)","Folato total (mcg)","Colina (mg)","Vitamina B-12 (mcg)","Vitamin B-12, added
(mcg)","Vitamina C (mg)","Vitamina D (D2 + D3) (mcg)","Vitamina E (alpha-tocopherol) (mg)","Vitamin E, added
(mg)","Vitamina K (phylloquinone) (mcg)","Calcio (mg)","fosforo (mg)","Magnesio (mg)","Hierro
(mg)","Zinc
(mg)","Cobre (mg)","Selenio (mcg)","Potasio (mg)","Sodio (mg)","Cafeina (mg)","Teobromina (mg)","Alcohol (g)","4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Agua
(g)"
"Pizza, cheese, with fruit, thick crust","Pizza","245","9.58","30.77","4.12","2.1","9.29","3.722","2.286","2.428","15","54","61","0","85","0","1697","19","0.329","0.18","3.131","0.066","58","37","135","95","15.3","0.31","0","5.6","0","0.72","0","8.9","159","185","22","2.22","1.13","0.103","15.9","161","526","0","0","0","0.09","0.071","0.048","0.122","0.148","0.505","1.85","0.748","0.1","2.091","0.037","0.002","2.118","0.274","0.001","0.01","0.004","0.004","0","48.19"
"Pizza, cheese, with fruit, thin crust","Pizza","259","10.73","28.08","4.69","2.3","11.56","5.152","2.904","2.526","23","53","60","0","85","0","1666","25","0.181","0.138","2.225","0.072","46","35","114","81","16.6","0.47","0","9.1","0","1.07","0","8.1","240","246","22","1.46","1.34","0.1","16.6","182","614","0","0","0","0.137","0.109","0.073","0.184","0.221","0.752","2.492","0.995","0.135","2.646","0.04","0.002","2.185","0.294","0.002","0.015","0.004","0.005","0.001","47.04"
"Pizza, cheese, with vegetables, from frozen, thin crust","Pizza","240","9.24","26.51","3.62","2.1","10.81","3.756","3.732","1.682","12","51","59","2","93","0","1606","55","0.191","0.23","1.966","0.094","33","2","59","35","13.4","0.68","0","5.1","0","0.92","0","6.4","159","160","21","2.04","1.18","0.207","18.9","154","393","0","0","0","0.242","0.047","0.073","0.098","0.134","0.398","1.794","0.971","0.113","3.596","0.022","0","1.486","0.148","0.036","0.012","0","0","0","51.58"
"Pizza, cheese, with vegetables, from restaurant or fast food, medium crust","Pizza","242","10.31","30.71","3.62","2.2","8.69","3.999","2.336","1.514","15","55","63","1","96","0","1714","74","0.354","0.177","3.455","0.09","47","37","117","85","15.4","0.38","0","4.8","0","0.77","0","6.5","170","196","23","2.26","1.22","0.101","17.9","171","535","0","0","0","0.09","0.072","0.049","0.126","0.157","0.539","2.059","0.768","0.105","2.139","0.033","0.002","1.318","0.159","0.002","0.011","0.004","0.004","0","48.08"
"Pizza, cheese, with vegetables, from restaurant or fast food, thick crust","Pizza","245","9.74","30.43","3.41","2.1","9.39","3.761","2.31","2.457","15","54","63","1","97","0","1714","42","0.33","0.181","3.142","0.072","59","37","137","96","15.5","0.31","0","4.8","0","0.76","0","9.5","161","189","22","2.24","1.15","0.1","16.1","169","531","0","0","0","0.091","0.072","0.048","0.124","0.149","0.51","1.871","0.755","0.101","2.112","0.037","0.002","2.146","0.276","0.001","0.01","0.004","0.004","0","48.23"
"Pizza, cheese, with vegetables, from restaurant or fast food, thin crust","Pizza","265","11.22","28.02","3.66","2.3","12.03","5.36","3.021","2.632","24","55","63","2","101","1","1732","55","0.183","0.141","2.276","0.08","48","36","118","84","17.3","0.49","0","7.3","0","1.15","0","9.1","250","258","22","1.52","1.39","0.095","17.3","194","639","0","0","0","0.142","0.114","0.076","0.191","0.23","0.782","2.594","1.035","0.14","2.752","0.041","0.002","2.28","0.304","0.002","0.015","0.004","0.005","0.001","46.03"
"Pizza, extra cheese, thick crust","Pizza","272","11.41","31.83","3.27","2.1","11","4.576","2.691","2.658","19","68","75","0","89","0","1837","21","0.349","0.207","3.336","0.06","63","39","146","102","16.3","0.38","0","1.1","0","0.81","0","9.6","203","224","23","2.37","1.38","0.101","18.5","167","602","0","0","0","0.116","0.093","0.061","0.156","0.187","0.636","2.255","0.903","0.124","2.478","0.042","0.002","2.325","0.298","0.001","0.012","0.004","0.004","0","43.27"
"Pizza, extra cheese, thin crust","Pizza","302","13.46","29.7","3.51","2.4","14.31","6.531","3.571","2.915","30","72","79","0","92","0","1900","28","0.194","0.171","2.455","0.065","53","39","129","92","18.4","0.59","0","2.8","0","1.25","0","9.2","311","308","24","1.62","1.7","0.096","20.4","194","740","0","0","0","0.178","0.143","0.095","0.238","0.285","0.964","3.143","1.247","0.172","3.274","0.047","0.002","2.529","0.337","0.002","0.019","0.005","0.006","0.001","39.41"
"Pizza, no cheese, thick crust","Pizza","290","7.36","37.88","5.47","1.9","12.07","2.795","5.721","2.861","12","1","9","1","86","0","1967","90","0.405","0.263","3.864","0.122","43","35","108","78","15.1","0.14","0","5.1","0.1","1.39","0","9.4","21","78","16","2.64","0.74","0.111","17.2","160","514","0","0","0","0.001","0","0.001","0.003","0.004","0.088","1.837","0.759","0.193","5.436","0.061","0.001","2.533","0.278","0","0.015","0.001","0.003","0","40.88"
"Pizza, no cheese, thin crust","Pizza","273","7.3","30.68","5.03","1.8","13.54","3.406","6.652","2.725","16","2","12","2","117","1","2677","118","0.337","0.228","3.753","0.148","33","29","85","62","18","0.2","0","7","0.2","1.57","0","9.6","25","76","17","2.46","0.79","0.112","15.3","187","551","0","0","0","0.001","0","0.001","0.004","0.005","0.12","2.207","0.946","0.24","6.299","0.073","0.001","2.416","0.241","0","0.021","0.001","0.004","0.001","46.53"
"Pizza, with meat other than pepperoni, from school lunch, medium crust","Pizza","254","12.94","31.41","5.62","4","8.45","3.854","2.567","1.098","26","66","74","0","97","0","1964","24","0.3","0.326","3.929","0.156","52","24","112","76","33.6","1.26","0","0.5","0","0.78","0","4.3","203","298","38","2.15","2.06","0.112","23.8","334","445","0","0","0","0.112","0.094","0.059","0.142","0.163","0.533","1.912","0.709","0.223","2.242","0.016","0.002","0.966","0.083","0","0.026","0.002","0.006","0.004","45.3"
"Pizza, with meat other than pepperoni, from school lunch, thick crust","Pizza","257","13.26","30.58","3.72","4","9.07","4.219","2.89","1.21","26","54","60","0","78","0","1944","23","0.326","0.311","4.1","0.122","56","25","120","81","29.1","0.34","0","0.4","0","0.75","0","3.3","168","279","23","2.21","1.6","0.123","25","282","433","0","0","0","0.112","0.094","0.059","0.142","0.164","0.542","2.148","0.782","0.292","2.493","0.015","0.003","1.069","0.085","0","0.032","0.001","0.006","0.005","45.31"
"Pizza, with meat other than pepperoni, from school lunch, thin crust","Pizza","250","12.63","32.24","7.53","3.9","7.83","3.488","2.244","0.986","25","79","89","0","116","0","1984","24","0.274","0.34","3.759","0.189","47","24","104","71","38","2.18","0","0.6","0","0.81","0","5.3","238","318","52","2.09","2.53","0.102","22.5","385","457","0","0","0","0.112","0.094","0.059","0.142","0.162","0.524","1.675","0.636","0.154","1.991","0.016","0.001","0.864","0.081","0","0.019","0.002","0.005","0.002","45.3"
"Pizza, with meat other than pepperoni, stuffed crust","Pizza","279","12.81","27.28","2.76","1.5","13.05","6.149","3.632","1.88","35","101","108","1","79","0","844","41","0.322","0.324","3.955","0.141","45","36","113","81","22.5","0.46","0","2.8","0.1","0.68","0","7.5","216","239","22","1.97","1.58","0.08","16.4","237","630","0","0","0","0.159","0.129","0.082","0.212","0.25","0.843","3.102","1.183","0.208","3.273","0.053","0.002","1.642","0.157","0","0.028","0.003","0.008","0","44.1"
"Pizza, with meat, gluten-free thick crust","Pizza","279","9.48","26.09","2.91","2.5","15.23","4.98","6.802","1.567","25","38","41","0","41","0","1342","20","0.208","0.375","2.743","0.12","0","21","21","21","19.2","0.33","0","0.2","0.2","1.3","0","4.3","200","148","16","1.73","1.29","0.067","8.7","140","568","0","0","0","0.071","0.059","0.047","0.103","0.114","0.444","2.876","1.114","0.243","6.143","0.066","0.001","1.43","0.084","0","0.025","0.003","0.006","0.001","46.96"
"Pizza, with meat, gluten-free thin crust","Pizza","286","10.58","21.88","2.78","2.1","17.36","5.835","7.827","1.792","30","46","50","0","50","0","1628","24","0.188","0.347","2.736","0.13","0","20","20","20","20.6","0.4","0","0.3","0.3","1.45","0","5.2","213","168","17","1.54","1.46","0.065","10.5","154","594","0","0","0","0.086","0.071","0.053","0.121","0.135","0.531","3.34","1.321","0.292","7.185","0.079","0.001","1.629","0.099","0","0.03","0.003","0.007","0.001","47.81"
"Pizza, with meat, whole wheat thick crust","Pizza","283","12.51","28.13","3.31","3.3","13.98","4.755","6.009","2.032","25","38","41","0","41","0","1342","53","0.293","0.29","4.12","0.196","31","50","74","52","23.2","0.33","0","0.2","0.2","1.2","0","5.7","181","216","52","2.51","1.77","0.134","20.5","218","628","0","0","0","0.074","0.059","0.038","0.094","0.107","0.426","2.688","1.123","0.241","5.732","0.066","0.001","1.83","0.149","0","0.025","0.003","0.006","0.001","42.72"
"Pizza, with meat, whole wheat thin crust","Pizza","289","13.05","23.58","3.09","2.9","16.35","5.654","7.185","2.171","30","46","50","0","50","0","1628","52","0.257","0.279","3.876","0.195","25","43","62","44","24.1","0.4","0","0.3","0.3","1.37","0","6.3","198","226","48","2.19","1.87","0.122","20.2","220","641","0","0","0","0.088","0.071","0.046","0.114","0.13","0.516","3.188","1.328","0.291","6.853","0.078","0.001","1.956","0.152","0","0.03","0.003","0.007","0.001","44.3"
"Pizza, with pepperoni, from school lunch, medium crust","Pizza","256","13.56","29.77","5.82","4.3","9.22","3.515","2.505","1.72","24","52","59","0","94","0","1902","22","0.279","0.31","3.124","0.165","38","20","84","57","30.4","1.68","0","0.1","0","0.8","0","8","178","310","46","2.64","2.22","0.09","22.7","345","484","0","0","0","0.104","0.088","0.055","0.134","0.152","0.511","1.719","0.708","0.134","2.11","0.02","0","1.328","0.125","0","0.024","0.004","0.008","0","45.09"
"Plantain chips","Tortilla, corn, other chips","531","2.28","63.84","0.92","3.5","29.59","8.337","5.632","11.739","0","0","69","441","611","0","36","16","0.065","0.04","0.802","0.46","0","35","35","35","0","0","0","32.1","0","5.04","0","28.6","9","78","71","0.97","0.37","0.198","0.4","786","202","0","0","0","0.006","0.001","0.019","0.036","0.033","0.21","7.084","0.781","0.116","5.473","0.028","0.001","11.617","0.078","0","0.001","0.028","0","0","2.09"
"Plantain soup, Puerto Rican style","Soups","40","2.33","7.15","3.89","0.4","0.47","0.196","0.161","0.018","0","0","12","92","96","0","0","6","0.017","0.054","1.542","0.072","0","8","8","8","8.2","0.12","0","3.9","0","0","0","6.4","11","30","12","0.43","0.04","0.016","1.6","205","665","0","0","0","0","0","0","0","0","0.018","0.107","0.071","0.018","0.143","0","0","0.018","0","0","0","0","0","0","87.9"
"Plantain, cooked with butter or margarine","Other starchy vegetables","137","1.27","30.88","16.95","1.6","2.51","1.045","0.648","0.354","4","21","73","403","430","0","0","28","0.054","0.071","0.619","0.244","0","18","18","18","13.5","0","0","15.1","0","0.25","0","29.2","4","32","35","0.53","0.18","0.072","1.5","472","136","0","0","0","0.056","0.035","0.021","0.045","0.047","0.131","0.458","0.234","0.017","0.626","0.004","0","0.319","0.035","0","0","0","0","0","63.78"
"Plantain, cooked with oil","Other starchy vegetables","144","1.26","30.87","16.95","1.6","3.24","0.397","1.216","1.196","0","0","52","403","420","0","0","28","0.054","0.07","0.618","0.211","0","18","18","18","13.1","0","0","15.1","0","0.34","0","31.3","3","31","35","0.54","0.18","0.072","1.5","471","116","0","0","0","0","0","0","0","0","0","0.283","0.093","0.01","1.193","0.012","0","1.049","0.147","0","0","0","0","0","63.12"
"Plantain, cooked, fat added, NS as to fat type","Other starchy vegetables","141","1.27","30.88","16.95","1.6","2.88","0.721","0.932","0.775","2","10","62","403","425","0","0","28","0.054","0.07","0.618","0.227","0","18","18","18","13.3","0","0","15.1","0","0.3","0","30.2","3","31","35","0.54","0.18","0.072","1.5","472","126","0","0","0","0.028","0.018","0.01","0.022","0.023","0.066","0.371","0.163","0.014","0.91","0.008","0","0.684","0.091","0","0","0","0","0","63.45"
"Plantain, cooked, no added fat","Other starchy vegetables","122","1.3","31.8","17.46","1.7","0.35","0","0","0","0","0","53","415","433","0","0","28","0.056","0.072","0.636","0.217","0","19","19","19","13.5","0","0","15.6","0","0","0","28.7","3","32","36","0.55","0.19","0.074","1.5","486","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65.01"
"Planters Peanut Bar","Candy not containing chocolate","509","16.26","50.68","44.34","5.5","30.58","5.02","15.077","8.876","0","0","0","0","0","0","0","0","0.049","0.06","8.018","0.267","0","70","70","70","32.1","0","0","0.5","0","4.03","0","0","36","230","102","0.9","1.91","0.312","2.2","422","186","0","0","0","0","0","0","0.022","0.022","0.022","2.928","0.814","0.022","14.634","0.356","0","8.766","0.022","0","0.022","0","0","0","0.85"
"Plum, canned","Other fruits and fruit salads","54","0.52","13.54","12.43","1","0.23","0.013","0.1","0.033","0","0","11","0","121","22","0","47","0.017","0.019","0.281","0.021","0","2","2","2","1.4","0","0","5.7","0","0.2","0","4.8","5","12","5","0.13","0.08","0.041","0","106","1","0","0","0","0","0","0","0","0","0","0.01","0.002","0.002","0.099","0","0","0.033","0","0","0","0","0","0","85.4"
"Plum, raw","Other fruits and fruit salads","46","0.7","11.42","9.92","1.4","0.28","0.017","0.134","0.044","0","0","17","0","190","35","0","73","0.028","0.026","0.417","0.029","0","5","5","5","1.9","0","0","9.5","0","0.26","0","6.4","6","16","7","0.17","0.1","0.057","0","157","0","0","0","0","0","0","0","0","0","0","0.014","0.003","0.002","0.132","0","0","0.044","0","0","0","0","0","0","87.23"
"Plums, baby food, junior","Baby food: fruit","74","0.1","20.5","13.64","1.2","0","0","0","0","0","0","5","0","52","10","0","29","0.006","0.03","0.206","0.029","0","1","1","1","1.1","0","0","0.8","0","0.6","0","3.4","6","6","4","0.22","0.08","0.038","0.4","83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79.2"
"Plums, baby food, NS as to strained or junior","Baby food: fruit","72","0.1","20.1","13.49","1.2","0","0","0","0","0","0","6","0","65","12","0","30","0.007","0.029","0.21","0.027","0","2","2","2","1.1","0","0","1","0","0.37","0","3.4","6","6","4","0.21","0.08","0.038","0.4","84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79.6"
"Plums, baby food, strained","Baby food: fruit","71","0.1","19.7","13.34","1.2","0","0","0","0","0","0","7","0","78","14","0","30","0.008","0.028","0.213","0.024","0","2","2","2","1.1","0","0","1.1","0","0.14","0","3.5","6","6","4","0.2","0.08","0.037","0.4","85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80"
"Plums, bananas, and rice, baby food strained","Baby food: fruit","57","1.1","12.7","9.3","1.3","0.3","0.06","0.12","0.07","0","0","7","0","73","13","0","65","0.04","0.05","0.8","0.13","0","6","6","6","3.4","0","0","12.3","0","0.24","0","5.7","3","32","11","0","0.13","0.054","2.4","265","0","0","0","0","0","0","0","0","0.001","0.001","0.046","0.004","0.004","0.116","0","0","0.058","0.008","0","0","0","0","0","85.6"
"Pocky","Cookies and brownies","447","10","51.08","25","5","22.5","12.584","2.065","6.717","0","1","1","0","1","0","0","7","0.071","0.199","0.641","0.048","0","17","17","17","4.4","0.4","0","0","0","8.87","0","1.7","50","184","36","0.9","0.9","0.225","14.7","181","213","2","64","0","0.003","0.002","0.001","0.002","0.003","0.013","7.134","5.425","0.002","2.064","0","0","6.71","0.007","0","0","0","0","0","15.09"
"Poi","Other starchy vegetables","120","1.61","28.45","0.43","4.4","0.22","0.044","0.017","0.089","0","0","4","0","36","20","0","0","0.092","0.026","0.613","0.274","0","20","20","20","18.6","0","0","4.1","0","2.56","0","1.1","46","90","35","0.59","0.25","0.185","0.8","635","12","0","0","0","0","0","0","0","0","0","0.038","0.006","0","0.017","0","0","0.062","0.027","0","0","0","0","0","68.43"
"Poke greens, cooked","Other dark green vegetables","42","2.24","3.01","1.55","1.5","2.92","0.81","0.945","0.946","2","10","432","0","5058","0","0","1691","0.068","0.242","1.065","0.124","0","9","9","9","0.5","0","0","79.4","0","1.12","0","106.9","52","32","14","1.16","0.18","0.122","0.9","178","139","0","0","0","0.028","0.018","0.01","0.022","0.024","0.067","0.45","0.168","0.015","0.921","0.008","0","0.845","0.1","0","0","0","0","0","90.26"
"Polish sausage","Sausages","337","12.45","5.03","2.39","0","29.68","9.894","12.564","5.383","73","9","9","0","0","0","0","0","0.15","0.212","3.727","0.097","0","0","0","0","41.8","0.72","0","14.7","0.9","0.38","0","0","42","204","16","0.99","1.53","0.056","19.8","306","1062","0","0","0","0","0","0.003","0.03","0.026","0.393","6.236","2.996","0.711","11.389","0.248","0.08","4.728","0.253","0.001","0.109","0.004","0.019","0.007","49.38"
"Pomegranate juice beverage, 40-50% juice, light","Fruit drinks","54","0.15","13.13","12.65","0.1","0.29","0.077","0.059","0.05","0","0","0","0","0","0","0","0","0.015","0.015","0.233","0.04","0","24","24","24","4.8","0","0","0.1","0","0.38","0","10.4","11","11","7","0.1","0.09","0.021","0.3","214","9","0","0","0","0","0","0","0","0.004","0.004","0.044","0.024","0.008","0.049","0.003","0","0.05","0","0","0","0","0","0","85.95"
"Pomegranate juice, 100%","Other fruit juice","54","0.15","13.13","12.65","0.1","0.29","0.077","0.059","0.05","0","0","0","0","0","0","0","0","0.015","0.015","0.233","0.04","0","24","24","24","4.8","0","0","0.1","0","0.38","0","10.4","11","11","7","0.1","0.09","0.021","0.3","214","9","0","0","0","0","0","0","0","0.004","0.004","0.044","0.024","0.008","0.049","0.003","0","0.05","0","0","0","0","0","0","85.95"
"Pomegranate, raw","Other fruits and fruit salads","83","1.67","18.7","13.67","4","1.17","0.12","0.093","0.079","0","0","0","0","0","0","0","0","0.067","0.053","0.293","0.075","0","38","38","38","7.6","0","0","10.2","0","0.6","0","16.4","10","36","12","0.3","0.35","0.158","0.5","236","3","0","0","0","0","0","0","0","0.006","0.006","0.07","0.038","0.012","0.077","0.004","0","0.079","0","0","0","0","0","0","77.93"
"Pompano, baked or broiled, fat added","Fish","234","22.59","0.1","0.04","0","15.35","4.806","4.741","2.944","61","42","42","0","0","0","0","0","0.651","0.147","3.668","0.221","0","17","17","17","63","1.35","0","0.5","13.4","0.66","0","4.6","27","238","33","0.74","0.88","0.047","44.6","467","392","0","0","0","0","0","0","0","0","0.501","3.078","1.128","0.702","4.023","0.015","0","1.511","0.191","0","0.301","0.214","0.247","0.48","60.02"
"Pompano, baked or broiled, no added fat","Fish","207","23.28","0.1","0.04","0","11.93","4.42","3.257","1.432","63","43","43","0","0","0","0","0","0.67","0.151","3.779","0.227","0","17","17","17","64.9","1.39","0","0.5","13.9","0.23","0","0.1","28","246","34","0.76","0.91","0.048","46","481","404","0","0","0","0","0","0","0","0","0.516","2.792","1.038","0.709","2.548","0","0","0.153","0","0","0.31","0.22","0.254","0.495","62.69"
